SDS Name,Description,Units,Data Type,Fill Value,No Data Value,Valid Range,Scale Factor
lc_measuredDate,,Class,object,,NA,,
lc_createDate,,Class,object,,NA,,
lc_updateDate,,Class,object,,NA,,
lc_publishDate,,Class,object,,NA,,
lc_organizationId,,int64,int64,,-9999,,
lc_organizationName,,Class,object,,NA,,
lc_siteId,,int64,int64,,-9999,,
lc_siteName,,Class,object,,NA,,
lc_MGRSLatitude,,float64,float64,,-9999,,
lc_MGRSLongitude,,float64,float64,,-9999,,
lc_elevation,,int64,int64,,-9999,,
lc_pid,,int64,int64,,-9999,,
lc_DownwardCaption,,Class,object,,NA,,
lc_DownwardExtraData,,Class,object,,NA,,
lc_DownwardPhotoUrl,,Class,object,,NA,,
lc_EastCaption,,int64,int64,,-9999,,
lc_EastClassifications,,Class,object,,NA,,
lc_EastExtraData,,Class,object,,NA,,
lc_EastPhotoUrl,,Class,object,,NA,,
lc_East_BarrenBareRock,,int64,int64,,-9999,,
lc_East_BarrenDirtOther,,int64,int64,,-9999,,
lc_East_BarrenGlaciers,,int64,int64,,-9999,,
lc_East_BarrenPerennialSnowfields,,int64,int64,,-9999,,
lc_East_BarrenSandy,,int64,int64,,-9999,,
lc_East_CultivatedAthleticFieldGolfCourseCemetery,,int64,int64,,-9999,,
lc_East_CultivatedCropsOrPastures,,int64,int64,,-9999,,
lc_East_CultivatedOrchards,,int64,int64,,-9999,,
lc_East_CultivatedOtherAgriculture,,int64,int64,,-9999,,
lc_East_HerbaceousGrasslandFernsOrFlowers,,int64,int64,,-9999,,
lc_East_HerbaceousGrasslandMediumGrass,,int64,int64,,-9999,,
lc_East_HerbaceousGrasslandShortGrass,,int64,int64,,-9999,,
lc_East_HerbaceousGrasslandTallGrass,,int64,int64,,-9999,,
lc_East_OpenWaterFreshwater,,int64,int64,,-9999,,
lc_East_OpenWaterMarine,,int64,int64,,-9999,,
lc_East_ShrubsCloselySpacedShortDeciduous,,int64,int64,,-9999,,
lc_East_ShrubsCloselySpacedShortEvergreen,,int64,int64,,-9999,,
lc_East_ShrubsCloselySpacedShortExtremelyDry,,int64,int64,,-9999,,
lc_East_ShrubsCloselySpacedTallDeciduous,,int64,int64,,-9999,,
lc_East_ShrubsCloselySpacedTallEvergreen,,int64,int64,,-9999,,
lc_East_ShrubsCloselySpacedTallExtremelyDry,,int64,int64,,-9999,,
lc_East_ShrubsLooselySpacedNotSureWhich,,int64,int64,,-9999,,
lc_East_ShrubsLooselySpacedShortDeciduous,,int64,int64,,-9999,,
lc_East_ShrubsLooselySpacedShortEvergreen,,int64,int64,,-9999,,
lc_East_ShrubsLooselySpacedShortExtremelyDry,,int64,int64,,-9999,,
lc_East_ShrubsLooselySpacedTallDeciduous,,int64,int64,,-9999,,
lc_East_ShrubsLooselySpacedTallEvergreen,,int64,int64,,-9999,,
lc_East_TreesCloselySpacedDeciduousBroadLeaved,,int64,int64,,-9999,,
lc_East_TreesCloselySpacedDeciduousNeedleLeaved,,int64,int64,,-9999,,
lc_East_TreesCloselySpacedEvergreenBroadLeaved,,int64,int64,,-9999,,
lc_East_TreesCloselySpacedEvergreenNeedleLeaved,,int64,int64,,-9999,,
lc_East_TreesCloselySpacedExtremelyDry,,int64,int64,,-9999,,
lc_East_TreesCloselySpacedNotSureWhich,,int64,int64,,-9999,,
lc_East_TreesLooselySpacedDeciduousBroadLeaved,,int64,int64,,-9999,,
lc_East_TreesLooselySpacedDeciduousNeedleLeaved,,int64,int64,,-9999,,
lc_East_TreesLooselySpacedEvergreenBroadLeaved,,int64,int64,,-9999,,
lc_East_TreesLooselySpacedEvergreenNeedleLeaved,,int64,int64,,-9999,,
lc_East_TreesLooselySpacedExtremelyDry,,int64,int64,,-9999,,
lc_East_TreesLooselySpacedNotSureWhich,,int64,int64,,-9999,,
lc_East_UrbanCommercialProperty,,int64,int64,,-9999,,
lc_East_UrbanOther,,int64,int64,,-9999,,
lc_East_UrbanResidentialProperty,,int64,int64,,-9999,,
lc_East_UrbanRoadsAndParking,,int64,int64,,-9999,,
lc_East_WetlandsInFreshwaterLakeOrPond(Lacustrine),,int64,int64,,-9999,,
lc_East_WetlandsInFreshwaterRiverine(Riverine),,int64,int64,,-9999,,
lc_East_WetlandsInSaltBrackishTidal(Estuarine),,int64,int64,,-9999,,
lc_NorthCaption,,int64,int64,,-9999,,
lc_NorthClassifications,,Class,object,,NA,,
